Year,Component,AmbientCondPattern,EmConcept,EFA,EFA_WTW
2019,HC,"T+20°C,4-5h,>20km",petrol (4S),0,
2019,HC,"T+20°C,4-5h,>20km",diesel,0,
2019,HC,"T+20°C,4-5h,>20km",electricity,0,
2019,HC,"T+20°C,4-5h,>20km",bifuel CNG/petrol,0,
2019,HC,"T+20°C,4-5h,>20km",flex-fuel E85,0,
2019,HC,"T+20°C,4-5h,>20km",Plug-in Hybrid petrol/electric,0,
2019,HC,"T+20°C,>12h,0-1km",petrol (4S),1.481407046,
2019,HC,"T+20°C,>12h,0-1km",diesel,0.062734209,
2019,HC,"T+20°C,>12h,0-1km",electricity,0,
2019,HC,"T+20°C,>12h,0-1km",bifuel CNG/petrol,0.057521567,
2019,HC,"T+20°C,>12h,0-1km",flex-fuel E85,0.077382199,
2019,HC,"T+20°C,>12h,0-1km",Plug-in Hybrid petrol/electric,0.238796905,
2019,HC,"T+20°C,>12h,1-2km",petrol (4S),1.509956121,
2019,HC,"T+20°C,>12h,1-2km",diesel,0.134491697,
2019,HC,"T+20°C,>12h,1-2km",electricity,0,
2019,HC,"T+20°C,>12h,1-2km",bifuel CNG/petrol,0.057521567,
2019,HC,"T+20°C,>12h,1-2km",flex-fuel E85,0.077382199,
2019,HC,"T+20°C,>12h,1-2km",Plug-in Hybrid petrol/electric,0.238796905,
2019,HC,"T+20°C,>12h,2-3km",petrol (4S),1.514585376,
2019,HC,"T+20°C,>12h,2-3km",diesel,0.143981412,
2019,HC,"T+20°C,>12h,2-3km",electricity,0,
2019,HC,"T+20°C,>12h,2-3km",bifuel CNG/petrol,0.057521567,
2019,HC,"T+20°C,>12h,2-3km",flex-fuel E85,0.077382199,
2019,HC,"T+20°C,>12h,2-3km",Plug-in Hybrid petrol/electric,0.238796905,
2019,HC,"T+20°C,>12h,3-4km",petrol (4S),1.514585376,
2019,HC,"T+20°C,>12h,3-4km",diesel,0.144237936,
2019,HC,"T+20°C,>12h,3-4km",electricity,0,
2019,HC,"T+20°C,>12h,3-4km",bifuel CNG/petrol,0.057521567,
2019,HC,"T+20°C,>12h,3-4km",flex-fuel E85,0.077382199,
2019,HC,"T+20°C,>12h,3-4km",Plug-in Hybrid petrol/electric,0.238796905,
2019,HC,"T+20°C,>12h,4-5km",petrol (4S),1.514585376,
2019,HC,"T+20°C,>12h,4-5km",diesel,0.144270226,
2019,HC,"T+20°C,>12h,4-5km",electricity,0,
2019,HC,"T+20°C,>12h,4-5km",bifuel CNG/petrol,0.057521567,
2019,HC,"T+20°C,>12h,4-5km",flex-fuel E85,0.077382199,
2019,HC,"T+20°C,>12h,4-5km",Plug-in Hybrid petrol/electric,0.238796905,
2019,HC,"T+20°C,>12h,>20km",petrol (4S),1.514585376,
2019,HC,"T+20°C,>12h,>20km",diesel,0.144270465,
