scenario,municipality,code,cartype,cars_in_use
EV_only,Sundbyberg,183,Diesel,0
EV_only,Sigtuna,191,Diesel,0
EV_only,Järfälla,123,Diesel,0
EV_only,Huddinge,126,Diesel,0
EV_only,Uppl. Bro,139,Diesel,0
EV_only,Haninge,136,Diesel,0
EV_only,Salem,128,Diesel,0
EV_only,Botkyrka,127,Diesel,0
EV_only,Nynäshamn,192,Diesel,0
EV_only,Nykvarn,140,Diesel,0
EV_only,Norrtälje,188,Diesel,0
EV_only,Danderyd,162,PHEV,0
EV_only,Solna,184,PHEV,0
EV_only,Nacka,182,PHEV,0
EV_only,Stockholm,180,PHEV,0
EV_only,Sollentuna,163,PHEV,0
EV_only,Täby,160,PHEV,0
EV_only,Ekerö,125,PHEV,0
EV_only,Lidingö,186,PHEV,0
EV_only,Vaxholm,187,PHEV,0
EV_only,Österåker,117,PHEV,0
EV_only,Vallentuna,115,PHEV,0
EV_only,Värmdö,120,PHEV,0
EV_only,Södertälje,181,PHEV,0
EV_only,Uppl. Väsby,114,PHEV,0
EV_only,Tyresö,138,PHEV,0
EV_only,Sundbyberg,183,PHEV,0
EV_only,Sigtuna,191,PHEV,0
EV_only,Järfälla,123,PHEV,0
EV_only,Huddinge,126,PHEV,0
EV_only,Uppl. Bro,139,PHEV,0
EV_only,Haninge,136,PHEV,0
EV_only,Salem,128,PHEV,0
EV_only,Botkyrka,127,PHEV,0
EV_only,Nynäshamn,192,PHEV,0
EV_only,Nykvarn,140,PHEV,0
EV_only,Norrtälje,188,PHEV,0
EV_only,Danderyd,162,EV,17140.8378
EV_only,Solna,184,EV,46917.40766
EV_only,Nacka,182,EV,58098.57827
EV_only,Stockholm,180,EV,394386.0266
EV_only,Sollentuna,163,EV,38506.32532
EV_only,Täby,160,EV,34014.91356
EV_only,Ekerö,125,EV,13665.30716
EV_only,Lidingö,186,EV,19610.85243
EV_only,Vaxholm,187,EV,5658.117195
EV_only,Österåker,117,EV,23751.30077
EV_only,Vallentuna,115,EV,17761.37193
EV_only,Värmdö,120,EV,20877.61901
EV_only,Södertälje,181,EV,57408.36916
EV_only,Uppl. Väsby,114,EV,24024.05715
EV_only,Tyresö,138,EV,20127.77577
EV_only,Sundbyberg,183,EV,20284.7232
EV_only,Sigtuna,191,EV,24424.78202
EV_only,Järfälla,123,EV,39684.90511
EV_only,Huddinge,126,EV,46361.66579
EV_only,Uppl. Bro,139,EV,15815.34109
EV_only,Haninge,136,EV,42538.75313
EV_only,Salem,128,EV,6801.303189
EV_only,Botkyrka,127,EV,37448.84324
EV_only,Nynäshamn,192,EV,13196.75607
EV_only,Nykvarn,140,EV,6083.787028
EV_only,Norrtälje,188,EV,36463.42908
