year,component,cartype,temperature,lower_p_bound,upper_p_bound,lambda,M_tot
2019,Benzene,Gasoline,average,0,1,10.71265414,0.045917459
2019,Benzene,PHEV,average,0,1,20,0.007372391
2019,Benzene,Diesel,average,1,2,1.116409057,0.001323083
2019,Benzene,Gasoline,average,1,2,10.19656948,0.1158453
2019,Benzene,PHEV,average,1,2,20,0.018627368
2019,Benzene,Diesel,average,2,3,0.875286388,0.001815498
2019,Benzene,Gasoline,average,2,3,10.16909766,0.146860465
2019,Benzene,PHEV,average,2,3,20,0.023632371
2019,Benzene,Diesel,average,3,4,0.836292239,0.002103866
2019,Benzene,Gasoline,average,3,4,10.10037286,0.167918026
2019,Benzene,PHEV,average,3,4,20,0.027025428
2019,Benzene,Diesel,average,4,5,0.818246466,0.002307887
2019,Benzene,Gasoline,average,4,5,10.05578218,0.18302922
2019,Benzene,PHEV,average,4,5,20,0.029459887
2019,Benzene,Diesel,average,5,6,0.818249957,0.002423501
2019,Benzene,Gasoline,average,5,6,10.05580767,0.192198545
2019,Benzene,PHEV,average,5,6,20,0.030935759
2019,Benzene,Diesel,average,6,7,0.81825012,0.00253912
2019,Benzene,Gasoline,average,6,7,10.05576446,0.2013679
2019,Benzene,PHEV,average,6,7,20,0.032411629
2019,Benzene,Diesel,average,7,8,0.818245007,0.002654748
2019,Benzene,Gasoline,average,7,8,10.05576821,0.210537225
2019,Benzene,PHEV,average,7,8,20,0.033887502
2019,Benzene,Diesel,average,8,9,0.818247945,0.002770364
2019,Benzene,Gasoline,average,8,9,10.05579123,0.219706565
2019,Benzene,PHEV,average,8,9,20,0.035363376
2019,Benzene,Diesel,average,9,10,0.818249548,0.00288598
2019,Benzene,Gasoline,average,9,10,10.05579374,0.228875905
2019,Benzene,PHEV,average,9,10,20,0.036839247
2019,Benzene,Diesel,average,10,11,0.81825,0.003001596
2019,Benzene,Gasoline,average,10,11,10.05577683,0.238045245
2019,Benzene,PHEV,average,10,11,20,0.038315117
2019,Benzene,Diesel,average,11,12,0.81825127,0.003117213
2019,Benzene,Gasoline,average,11,12,10.0557771,0.247214571
2019,Benzene,PHEV,average,11,12,20,0.039790988
2019,Benzene,Diesel,average,12,1000,0.818252431,0.003175021
2019,Benzene,Gasoline,average,12,1000,10.05577899,0.251799226
2019,Benzene,PHEV,average,12,1000,20,0.040528921
2019,CH4,Diesel,average,0,1,2.665823556,0.000900133
2019,CH4,Gasoline,average,0,1,8.09006671,0.038181276
2019,CH4,PHEV,average,0,1,20,0.00592173
2019,CH4,Diesel,average,1,2,1.116410319,0.002714014
2019,CH4,Gasoline,average,1,2,7.568415579,0.095941707
2019,CH4,PHEV,average,1,2,20,0.01496207
2019,CH4,Diesel,average,2,3,0.875282866,0.003724107
2019,CH4,Gasoline,average,2,3,7.610719879,0.121376529
2019,CH4,PHEV,average,2,3,20,0.018982242
2019,CH4,Diesel,average,3,4,0.836291754,0.004315622
2019,CH4,Gasoline,average,3,4,7.606316899,0.138716411
2019,CH4,PHEV,average,3,4,20,0.02170765
2019,CH4,Diesel,average,4,5,0.81824903,0.004734119
2019,CH4,Gasoline,average,4,5,7.600985616,0.151165991
2019,CH4,PHEV,average,4,5,20,0.023663083
2019,CH4,Diesel,average,5,6,0.818249843,0.004971282
2019,CH4,Gasoline,average,5,6,7.600996169,0.158739053
2019,CH4,PHEV,average,5,6,20,0.024848548
2019,CH4,Diesel,average,6,7,0.818248979,0.005208456
2019,CH4,Gasoline,average,6,7,7.600992372,0.166312108
2019,CH4,PHEV,average,6,7,20,0.026034011
2019,CH4,Diesel,average,7,8,0.818248272,0.005445626
2019,CH4,Gasoline,average,7,8,7.6009819,0.173885192
2019,CH4,PHEV,average,7,8,20,0.027219477
2019,CH4,Diesel,average,8,9,0.818249303,0.005682787
2019,CH4,Gasoline,average,8,9,7.600986664,0.181458246
2019,CH4,PHEV,average,8,9,20,0.028404944
2019,CH4,Diesel,average,9,10,0.818251506,0.005919948
2019,CH4,Gasoline,average,9,10,7.600998932,0.189031308
2019,CH4,PHEV,average,9,10,20,0.029590408
2019,CH4,Diesel,average,10,11,0.81825019,0.006157122
2019,CH4,Gasoline,average,10,11,7.601002936,0.196604362
2019,CH4,PHEV,average,10,11,20,0.030775873
2019,CH4,Diesel,average,11,12,0.818249692,0.006394294
2019,CH4,Gasoline,average,11,12,7.600993513,0.20417743
2019,CH4,PHEV,average,11,12,20,0.031961338
2019,CH4,Diesel,average,12,1000,0.8182484,0.006512884
2019,CH4,Gasoline,average,12,1000,7.600988748,0.207963958
2019,CH4,PHEV,average,12,1000,20,0.032554067
2019,CO,Diesel,average,0,1,6.260279739,0.248787748
2019,CO,Gasoline,average,0,1,20,2.238988799
2019,CO,PHEV,average,0,1,20,0.448785598
2019,CO,Diesel,average,1,2,3.14331429,0.696766329
2019,CO,Gasoline,average,1,2,7.070276234,6.223390722
2019,CO,PHEV,average,1,2,7.564132276,1.247389101
2019,CO,Diesel,average,2,3,2.544713717,1.016302086
2019,CO,Gasoline,average,2,3,5.409585266,8.968148723
2019,CO,PHEV,average,2,3,5.683715483,1.797379733
2019,CO,Diesel,average,3,4,2.433248523,1.336028419
2019,CO,Gasoline,average,3,4,5.120737916,11.74570066
2019,CO,PHEV,average,3,4,5.36438139,2.353954996
2019,CO,Diesel,average,4,5,2.381463556,1.54944898
2019,CO,Gasoline,average,4,5,4.991418248,13.5953936
2019,CO,PHEV,average,4,5,5.222473406,2.724589016
2019,CO,Diesel,average,5,6,2.381467215,1.654378637
2019,CO,Gasoline,average,5,6,4.991416452,14.51608862
2019,CO,PHEV,average,5,6,5.222475683,2.909100872
2019,CO,Diesel,average,6,7,2.381464328,1.759307707
2019,CO,Gasoline,average,6,7,4.991418544,15.43678285
2019,CO,PHEV,average,6,7,5.222450656,3.093614755
2019,CO,Diesel,average,7,8,2.3814594,1.864239556
2019,CO,Gasoline,average,7,8,4.991416815,16.35747691
2019,CO,PHEV,average,7,8,5.222476442,3.278125003
2019,CO,Diesel,average,8,9,2.381459511,1.969169973
2019,CO,Gasoline,average,8,9,4.99142232,17.27816956
2019,CO,PHEV,average,8,9,5.22247615,3.462636872
2019,CO,Diesel,average,9,10,2.381459045,2.074100417
2019,CO,Gasoline,average,9,10,4.991417013,18.19886656
2019,CO,PHEV,average,9,10,5.222474067,3.647149104
2019,CO,Diesel,average,10,11,2.381459392,2.179030666
2019,CO,Gasoline,average,10,11,4.991417977,19.11955964
2019,CO,PHEV,average,10,11,5.222474284,3.831661184
2019,CO,Diesel,average,11,12,2.381459008,2.283961159
2019,CO,Gasoline,average,11,12,4.991419604,20.04025333
2019,CO,PHEV,average,11,12,5.222474481,4.016173393
2019,CO,Diesel,average,12,1000,2.381459893,2.336426086
2019,CO,Gasoline,average,12,1000,4.991418842,20.50059989
2019,CO,PHEV,average,12,1000,5.222472142,4.108429314
2019,CO2_WTW,Diesel,average,0,1,1.021674735,10.94180752
2019,CO2_WTW,Gasoline,average,0,1,2.110748001,14.30627821
2019,CO2_WTW,PHEV,average,0,1,2.185077874,2.768920739
2019,CO2_WTW,Diesel,average,1,2,0.337354079,48.88113452
2019,CO2_WTW,Gasoline,average,1,2,1.004010394,47.29959533
2019,CO2_WTW,PHEV,average,1,2,1.031488858,9.201000709
2019,CO2_WTW,Diesel,average,2,3,0.28666545,83.97969525
2019,CO2_WTW,Gasoline,average,2,3,0.835958287,80.0531192
2019,CO2_WTW,PHEV,average,2,3,0.856361173,15.67136112
2019,CO2_WTW,Diesel,average,3,4,0.277183329,118.181654
2019,CO2_WTW,Gasoline,average,3,4,0.784684071,113.1521418
2019,CO2_WTW,PHEV,average,3,4,0.807273488,22.1528235
2019,CO2_WTW,Diesel,average,4,5,0.27272348,152.3315423
2019,CO2_WTW,Gasoline,average,4,5,0.754039806,146.6486811
2019,CO2_WTW,PHEV,average,4,5,0.778928428,28.68925513
2019,CO2_WTW,Diesel,average,5,6,0.27259496,186.2112891
2019,CO2_WTW,Gasoline,average,5,6,0.738217324,180.3405006
2019,CO2_WTW,PHEV,average,5,6,0.766050442,35.22683785
2019,CO2_WTW,Diesel,average,6,7,0.272503804,220.0924603
2019,CO2_WTW,Gasoline,average,6,7,0.727167325,214.1008998
2019,CO2_WTW,PHEV,average,6,7,0.757076664,41.77238358
2019,CO2_WTW,Diesel,average,7,8,0.272437759,253.9732364
2019,CO2_WTW,Gasoline,average,7,8,0.719015306,247.9043959
2019,CO2_WTW,PHEV,average,7,8,0.750466427,48.32294272
2019,CO2_WTW,Diesel,average,8,9,0.27238496,287.8559537
2019,CO2_WTW,Gasoline,average,8,9,0.712751666,281.7374456
2019,CO2_WTW,PHEV,average,8,9,0.745390386,54.87696221
2019,CO2_WTW,Diesel,average,9,10,0.272349877,321.7314716
2019,CO2_WTW,Gasoline,average,9,10,0.707783509,315.5927618
2019,CO2_WTW,PHEV,average,9,10,0.741368725,61.43356839
2019,CO2_WTW,Diesel,average,10,11,0.272315134,355.615486
2019,CO2_WTW,Gasoline,average,10,11,0.703758483,349.4610294
2019,CO2_WTW,PHEV,average,10,11,0.738113462,67.9914462
2019,CO2_WTW,Diesel,average,11,12,0.272288036,389.4968939
2019,CO2_WTW,Gasoline,average,11,12,0.700420589,383.3422538
2019,CO2_WTW,PHEV,average,11,12,0.73541456,74.55092004
2019,CO2_WTW,Diesel,average,12,1000,0.272280356,406.5938251
2019,CO2_WTW,Gasoline,average,12,1000,0.698929916,400.4526262
2019,CO2_WTW,PHEV,average,12,1000,0.734213404,77.86281256
2019,CO2e,Diesel,average,0,1,1.022427333,9.044696438
2019,CO2e,Gasoline,average,0,1,2.139826957,12.15122321
2019,CO2e,PHEV,average,0,1,2.209442,2.346683943
2019,CO2e,Diesel,average,1,2,0.337796556,40.38012593
2019,CO2e,Gasoline,average,1,2,1.037597278,39.66060527
2019,CO2e,PHEV,average,1,2,1.059270395,7.717942709
2019,CO2e,Diesel,average,2,3,0.28695802,69.38035883
2019,CO2e,Gasoline,average,2,3,0.864704129,66.78326429
2019,CO2e,PHEV,average,2,3,0.879971004,13.09159765
2019,CO2e,Diesel,average,3,4,0.277416119,97.64177196
2019,CO2e,Gasoline,average,3,4,0.809095379,94.31741523
2019,CO2e,PHEV,average,3,4,0.827245655,18.49612995
2019,CO2e,Diesel,average,4,5,0.272919904,125.8608886
2019,CO2e,Gasoline,average,4,5,0.775216355,122.2287255
2019,CO2e,PHEV,average,4,5,0.79620976,23.9542299
2019,CO2e,Diesel,average,5,6,0.272760747,153.8597626
2019,CO2e,Gasoline,average,5,6,0.756611461,150.379763
2019,CO2e,PHEV,average,5,6,0.781029287,29.42583655
2019,CO2e,Diesel,average,6,7,0.272653386,181.857182
2019,CO2e,Gasoline,average,6,7,0.743605986,178.6039512
2019,CO2e,PHEV,average,6,7,0.770434346,34.90637799
2019,CO2e,Diesel,average,7,8,0.272568466,209.8588036
2019,CO2e,Gasoline,average,7,8,0.733989884,206.8773078
2019,CO2e,PHEV,average,7,8,0.76261898,40.39257021
2019,CO2e,Diesel,average,8,9,0.272510244,237.8554433
2019,CO2e,Gasoline,average,8,9,0.726602443,235.1817374
2019,CO2e,PHEV,average,8,9,0.756622824,45.88239345
2019,CO2e,Diesel,average,9,10,0.272462109,265.8534617
2019,CO2e,Gasoline,average,9,10,0.720744134,263.509672
2019,CO2e,PHEV,average,9,10,0.751868581,51.375071
2019,CO2e,Diesel,average,10,11,0.27242752,293.8477387
2019,CO2e,Gasoline,average,10,11,0.715987614,291.853795
2019,CO2e,PHEV,average,10,11,0.748008502,56.86972933
2019,CO2e,Diesel,average,11,12,0.272391344,321.8505218
2019,CO2e,Gasoline,average,11,12,0.712039396,320.213215
2019,CO2e,PHEV,average,11,12,0.744814925,62.36580308
2019,CO2e,Diesel,average,12,1000,0.272380341,335.9802626
2019,CO2e,Gasoline,average,12,1000,0.710286987,334.5329232
2019,CO2e,PHEV,average,12,1000,0.743396015,65.14074295
2019,FC,Diesel,average,0,1,1.018069366,2.867563731
2019,FC,Gasoline,average,0,1,1.949387314,3.591717032
2019,FC,PHEV,average,0,1,2.051694408,0.703294554
2019,FC,Diesel,average,1,2,0.335147034,12.85264529
2019,FC,Gasoline,average,1,2,0.815039818,13.00298895
2019,FC,PHEV,average,1,2,0.877680164,2.501872073
2019,FC,Diesel,average,2,3,0.285268862,22.06779732
2019,FC,Gasoline,average,2,3,0.675894448,22.66679128
2019,FC,PHEV,average,2,3,0.726646622,4.361630172
2019,FC,Diesel,average,3,4,0.27608987,31.04539054
2019,FC,Gasoline,average,3,4,0.650033688,32.02330426
2019,FC,PHEV,average,3,4,0.698350373,6.164216909
2019,FC,Diesel,average,4,5,0.271817363,40.007998
2019,FC,Gasoline,average,4,5,0.638009511,41.35521861
2019,FC,PHEV,average,4,5,0.685195216,7.961992875
2019,FC,Diesel,average,5,6,0.271813322,48.89924316
2019,FC,Gasoline,average,5,6,0.638011653,50.54510954
2019,FC,PHEV,average,5,6,0.685196026,9.731316259
2019,FC,Diesel,average,6,7,0.271848679,57.78405013
2019,FC,Gasoline,average,6,7,0.638011749,59.73512025
2019,FC,PHEV,average,6,7,0.685195934,11.50064817
2019,FC,Diesel,average,7,8,0.271838936,66.6758439
2019,FC,Gasoline,average,7,8,0.638011809,68.9251394
2019,FC,PHEV,average,7,8,0.685195866,13.26997892
2019,FC,Diesel,average,8,9,0.271827595,75.56847125
2019,FC,Gasoline,average,8,9,0.638012169,78.1151294
2019,FC,PHEV,average,8,9,0.685194491,15.03933219
2019,FC,Diesel,average,9,10,0.271813117,84.46231247
2019,FC,Gasoline,average,9,10,0.638003369,87.30596131
2019,FC,PHEV,average,9,10,0.685195548,16.80864619
2019,FC,Diesel,average,10,11,0.271849855,93.34316416
2019,FC,Gasoline,average,10,11,0.638002692,96.49615626
2019,FC,PHEV,average,10,11,0.685196182,18.57796532
2019,FC,Diesel,average,11,12,0.271839909,102.2360222
2019,FC,Gasoline,average,11,12,0.638007111,105.6858218
2019,FC,PHEV,average,11,12,0.685195364,20.34731176
2019,FC,Diesel,average,12,1000,0.271811296,106.7323796
