zone_id,mn_code,municipality
731905,319,Älvkarleby
731907,319,Älvkarleby
731908,319,Älvkarleby
731909,319,Älvkarleby
737087,330,Knivsta
737088,330,Knivsta
737070,330,Knivsta
737074,330,Knivsta
737075,330,Knivsta
737076,330,Knivsta
737077,330,Knivsta
737078,330,Knivsta
737079,330,Knivsta
737080,330,Knivsta
737081,330,Knivsta
737082,330,Knivsta
737086,330,Knivsta
737089,330,Knivsta
737084,330,Knivsta
737071,330,Knivsta
737072,330,Knivsta
737073,330,Knivsta
737083,330,Knivsta
737085,330,Knivsta
891710,331,Heby
891701,331,Heby
891702,331,Heby
891703,331,Heby
891704,331,Heby
891705,331,Heby
891706,331,Heby
891707,331,Heby
891708,331,Heby
891709,331,Heby
891711,331,Heby
736017,360,Tierp
736001,360,Tierp
736002,360,Tierp
736003,360,Tierp
736004,360,Tierp
736005,360,Tierp
736006,360,Tierp
736008,360,Tierp
736009,360,Tierp
736010,360,Tierp
736011,360,Tierp
736012,360,Tierp
736013,360,Tierp
736014,360,Tierp
736015,360,Tierp
737090,380,Uppsala
737091,380,Uppsala
737107,380,Uppsala
737109,380,Uppsala
737001,380,Uppsala
737002,380,Uppsala
737003,380,Uppsala
737004,380,Uppsala
737005,380,Uppsala
737006,380,Uppsala
737007,380,Uppsala
737008,380,Uppsala
737009,380,Uppsala
737010,380,Uppsala
737011,380,Uppsala
737012,380,Uppsala
737013,380,Uppsala
737014,380,Uppsala
737015,380,Uppsala
737016,380,Uppsala
737017,380,Uppsala
737018,380,Uppsala
737019,380,Uppsala
737020,380,Uppsala
737021,380,Uppsala
737022,380,Uppsala
737023,380,Uppsala
737024,380,Uppsala
737025,380,Uppsala
737026,380,Uppsala
737027,380,Uppsala
737028,380,Uppsala
737029,380,Uppsala
737030,380,Uppsala
737031,380,Uppsala
737032,380,Uppsala
737033,380,Uppsala
737034,380,Uppsala
737035,380,Uppsala
737036,380,Uppsala
737037,380,Uppsala
737038,380,Uppsala
737039,380,Uppsala
737040,380,Uppsala
737041,380,Uppsala
737042,380,Uppsala
737043,380,Uppsala
737044,380,Uppsala
737045,380,Uppsala
737046,380,Uppsala
737047,380,Uppsala
737048,380,Uppsala
737049,380,Uppsala
737050,380,Uppsala
737051,380,Uppsala
737052,380,Uppsala
737053,380,Uppsala
737054,380,Uppsala
737055,380,Uppsala
737056,380,Uppsala
737057,380,Uppsala
737058,380,Uppsala
737059,380,Uppsala
737060,380,Uppsala
737061,380,Uppsala
737062,380,Uppsala
737063,380,Uppsala
737064,380,Uppsala
737065,380,Uppsala
737066,380,Uppsala
737111,380,Uppsala
737112,380,Uppsala
737113,380,Uppsala
737114,380,Uppsala
737115,380,Uppsala
737116,380,Uppsala
737117,380,Uppsala
737118,380,Uppsala
737119,380,Uppsala
737121,380,Uppsala
737122,380,Uppsala
737123,380,Uppsala
737124,380,Uppsala
737126,380,Uppsala
737127,380,Uppsala
737128,380,Uppsala
737129,380,Uppsala
737130,380,Uppsala
737131,380,Uppsala
737132,380,Uppsala
737137,380,Uppsala
737138,380,Uppsala
737139,380,Uppsala
737140,380,Uppsala
737141,380,Uppsala
737142,380,Uppsala
737143,380,Uppsala
737144,380,Uppsala
737145,380,Uppsala
737146,380,Uppsala
737147,380,Uppsala
737148,380,Uppsala
737149,380,Uppsala
737150,380,Uppsala
737151,380,Uppsala
737152,380,Uppsala
737153,380,Uppsala
737154,380,Uppsala
737155,380,Uppsala
737156,380,Uppsala
737157,380,Uppsala
737158,380,Uppsala
737159,380,Uppsala
737160,380,Uppsala
738001,380,Uppsala
738002,380,Uppsala
738003,380,Uppsala
738004,380,Uppsala
738005,380,Uppsala
738006,380,Uppsala
738007,380,Uppsala
738008,380,Uppsala
738009,380,Uppsala
738010,380,Uppsala
738011,380,Uppsala
738012,380,Uppsala
738013,380,Uppsala
738014,380,Uppsala
738015,380,Uppsala
738016,380,Uppsala
738017,380,Uppsala
738018,380,Uppsala
738019,380,Uppsala
738020,380,Uppsala
738021,380,Uppsala
738022,380,Uppsala
738023,380,Uppsala
738024,380,Uppsala
738025,380,Uppsala
738026,380,Uppsala
738027,380,Uppsala
738028,380,Uppsala
738029,380,Uppsala
738030,380,Uppsala
738031,380,Uppsala
738032,380,Uppsala
738033,380,Uppsala
738034,380,Uppsala
738035,380,Uppsala
738036,380,Uppsala
738037,380,Uppsala
738038,380,Uppsala
738039,380,Uppsala
738040,380,Uppsala
738041,380,Uppsala
738042,380,Uppsala
738043,380,Uppsala
738044,380,Uppsala
738045,380,Uppsala
738046,380,Uppsala
738047,380,Uppsala
738048,380,Uppsala
738049,380,Uppsala
738050,380,Uppsala
738051,380,Uppsala
738052,380,Uppsala
738053,380,Uppsala
738054,380,Uppsala
738055,380,Uppsala
738056,380,Uppsala
738057,380,Uppsala
738058,380,Uppsala
738059,380,Uppsala
738060,380,Uppsala
738061,380,Uppsala
738062,380,Uppsala
738063,380,Uppsala
738064,380,Uppsala
738065,380,Uppsala
738066,380,Uppsala
738067,380,Uppsala
738068,380,Uppsala
738069,380,Uppsala
738070,380,Uppsala
738071,380,Uppsala
738072,380,Uppsala
738073,380,Uppsala
738074,380,Uppsala
738075,380,Uppsala
738076,380,Uppsala
738077,380,Uppsala
738078,380,Uppsala
738079,380,Uppsala
738080,380,Uppsala
738081,380,Uppsala
738082,380,Uppsala
738083,380,Uppsala
738084,380,Uppsala
738085,380,Uppsala
738086,380,Uppsala
738087,380,Uppsala
738088,380,Uppsala
738089,380,Uppsala
738090,380,Uppsala
738091,380,Uppsala
